month,FlightNum,AirTime (in Hrs),Origin,Dest,Distance,Cancelled,Cancellation Code,Diverted,ArrDelay,start_date
Jan,335,116,IAD,TPA,810,0,,Yes,-14,1/12/2018
Jan,3231,113,IAD,TPA,810,0,,No,2,1/13/2018
Jan,448,76,IND,BWI,515,0,,No,0,1/14/2018
Jan,1746,78,IND,BWI,515,0,,No,-6,1/15/2018
Jan,3920,77,IND,BWI,515,0,,Yes,0,1/16/2018
Jan,378,87,IND,JAX,688,1,1,No,,1/17/2018
Jan,509,230,IND,LAS,1591,1,1,No,,1/18/2018
Jan,535,219,IND,LAS,1591,1,4,No,,1/19/2018
Jan,11,70,IND,MCI,451,0,,Yes,2,1/20/2018
Jan,810,70,IND,MCI,451,1,2,No,,1/21/2018
Jan,100,106,IND,MCO,828,0,,No,1,1/22/2018
Jan,1333,107,IND,MCO,828,1,2,No,,1/23/2018
Jan,829,39,IND,MDW,162,0,,No,1,1/24/2018
Jan,1016,37,IND,MDW,162,1,3,No,,1/25/2018
Jan,1827,35,IND,MDW,162,1,4,No,,1/26/2018
Jan,2272,37,IND,MDW,162,0,,No,0,1/27/2018
Jan,675,213,IND,PHX,1489,0,,Yes,0,1/28/2018
Jan,1144,205,IND,PHX,1489,0,,No,-15,1/29/2018
Jan,4,110,IND,TPA,838,1,2,No,,1/30/2018
Jan,54,49,ISP,BWI,220,0,,No,0,1/31/2018
Feb,68,51,ISP,BWI,220,0,,Yes,-3,2/1/2018
Feb,623,47,ISP,BWI,220,0,,No,0,2/2/2018
Feb,717,49,ISP,BWI,220,1,3,No,,2/3/2018
Feb,1244,47,ISP,BWI,220,0,,No,-7,2/4/2018
Feb,2101,53,ISP,BWI,220,0,,Yes,-8,2/5/2018
Feb,2553,50,ISP,BWI,220,1,1,No,,2/6/2018
Feb,188,143,ISP,FLL,1093,0,,No,0,2/7/2018
Feb,1754,155,ISP,FLL,1093,0,,No,4,2/8/2018
Feb,2275,147,ISP,FLL,1093,0,,No,0,2/9/2018
Feb,550,314,ISP,LAS,2283,1,4,No,,2/10/2018
Feb,362,134,ISP,MCO,972,1,3,No,,2/11/2018
Feb,543,135,ISP,MCO,972,0,,No,-21,2/12/2018
Feb,1112,142,ISP,MCO,972,0,,Yes,-7,2/13/2018
Feb,1397,140,ISP,MCO,972,0,,No,-4,2/14/2018
Feb,3398,134,ISP,MCO,972,0,,No,-5,2/15/2018
Feb,3480,134,ISP,MCO,972,1,1,No,,2/16/2018
Feb,300,112,ISP,MDW,765,0,,Yes,-20,2/17/2018
Feb,422,118,ISP,MDW,765,1,1,No,,2/18/2018
Feb,1837,114,ISP,MDW,765,1,3,No,,2/19/2018
Feb,2871,113,ISP,MDW,765,0,,No,0,2/20/2018
Feb,1056,143,ISP,PBI,1052,0,,Yes,0,2/21/2018
Feb,2175,138,ISP,PBI,1052,0,,No,-11,2/22/2018
Feb,3319,140,ISP,PBI,1052,1,4,No,,2/23/2018
Feb,3667,151,ISP,RSW,1101,0,,No,0,2/24/2018
Feb,2006,143,ISP,TPA,1034,0,,No,-12,2/25/2018
Feb,3858,144,ISP,TPA,1034,0,,No,-8,2/26/2018
Feb,3928,142,ISP,TPA,1034,0,,No,0,2/27/2018
Feb,534,123,JAN,BWI,888,0,,No,8,2/28/2018
